Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,Abstract
Patient-Facing Mobile Apps to Support Physiotherapy Care: Protocol for a Systematic Review of Apps Within App Stores,"Merolli M, Francis JJ, Vallance P, Bennell KL, Malliaras P, Hinman RS.",JMIR Res Protoc. 2021 Dec 9;10(12):e29047. doi: 10.2196/29047.,Merolli M,JMIR Res Protoc,2021,2021/12/10,PMC8704116,,10.2196/29047,"BACKGROUND: Care delivered by physiotherapists aims to facilitate engagement in positive health behaviors by patients (eg, adherence to exercise). However, research suggests that behavioral interventions are frequently omitted from care. Hence, better understanding of strategies that can be used by physiotherapists to support patients to engage in positive behaviors is important and likely to optimize outcomes. Digital health interventions delivered via mobile apps are garnering attention for their ability to support behavior change. They have potential to incorporate numerous behavior change techniques (BCTs) to support goals of physiotherapy care, including but not limited to self-monitoring, goal setting, and prompts/alerts. Despite their potential to support physiotherapy care, much is still unknown about what apps are available to consumers, the BCTs they use, their quality, and their potential to change behaviors. OBJECTIVE: The primary aim of this study is to systematically review the mobile apps available in app stores that are intended for use by patients to support physiotherapy care, including the BCTs within these apps. The secondary aims are to evaluate the quality and behavior change potential of these apps. METHODS: A systematic review of mobile apps in app stores will be undertaken. This will be guided by recommendations for systematic reviews in line with the PRISMA (Preferred Reporting Items for Systematic Reviews and Meta-Analyses) statement but adapted to suit our app store search, consistent with similar systematic reviews of apps published in the Journal of Medical Internet Research. Apple Store and Google Play will be searched with a two-step search strategy, using terms relevant to physiotherapy, physiotherapists, and common physiotherapy care. Key eligibility criteria will include apps that are intended for use by patients and are self-contained or stand-alone without the need of additional wearable devices or other add-ons. Included apps will be coded for BCTs and rated for quality using the Mobile Application Rating Scale (MARS) and for potential to change behavior using the App Behavior Change Scale (ABACUS). RESULTS: App store search and screening are expected to be completed in 2021. Data extraction and quality appraisal are expected to commence by November 2021. The study results are expected to be published in a subsequent paper in 2022. CONCLUSIONS: Knowledge gained from this review will support clinical practice and inform research by providing a greater understanding of the quality of currently available mobile apps and their potential to support patient behavior change goals of physiotherapy care. INTERNATIONAL REGISTERED REPORT IDENTIFIER (IRRID): PRR1-10.2196/29047."
Mobile App-Based Interventions to Support Diabetes Self-Management: A Systematic Review of Randomized Controlled Trials to Identify Functions Associated with Glycemic Efficacy,"Wu Y, Yao X, Vespasiani G, Nicolucci A, Dong Y, Kwong J, Li L, Sun X, Tian H, Li S.",JMIR Mhealth Uhealth. 2017 Mar 14;5(3):e35. doi: 10.2196/mhealth.6522.,Wu Y,JMIR Mhealth Uhealth,2017,2017/03/16,PMC5373677,,10.2196/mhealth.6522,"BACKGROUND: Mobile health apps for diabetes self-management have different functions. However, the efficacy and safety of each function are not well studied, and no classification is available for these functions. OBJECTIVE: The aims of this study were to (1) develop and validate a taxonomy of apps for diabetes self-management, (2) investigate the glycemic efficacy of mobile app-based interventions among adults with diabetes in a systematic review of randomized controlled trials (RCTs), and (3) explore the contribution of different function to the effectiveness of entire app-based interventions using the taxonomy. METHODS: We developed a 3-axis taxonomy with columns of clinical modules, rows of functional modules and cells of functions with risk assessments. This taxonomy was validated by reviewing and classifying commercially available diabetes apps. We searched MEDLINE, EMBASE, the Cochrane Central Register of Controlled Trials, the Chinese Biomedical Literature Database, and ClinicalTrials.gov from January 2007 to May 2016. We included RCTs of adult outpatients with diabetes that compared using mobile app-based interventions with usual care alone. The mean differences (MDs) in hemoglobin A(1c) (HbA(1c)) concentrations and risk ratios of adverse events were pooled using a random-effects meta-analysis. After taxonomic classification, we performed exploratory subgroup analyses of the presence or absence of each module across the included app-based interventions. RESULTS: Across 12 included trials involving 974 participants, using app-based interventions was associated with a clinically significant reduction of HbA(1c) (MD 0.48%, 95% CI 0.19%-0.77%) without excess adverse events. Larger HbA(1c) reductions were noted among patients with type 2 diabetes than those with type 1 diabetes (MD 0.67%, 95% CI 0.30%-1.03% vs MD 0.36%, 95% CI 0.08%-0.81%). Having a complication prevention module in app-based interventions was associated with a greater HbA(1c) reduction (with complication prevention: MD 1.31%, 95% CI 0.66%-1.96% vs without: MD 0.38%, 95% CI 0.09%-0.67%; intersubgroup P=.01), as was having a structured display (with structured display: MD 0.69%, 95% CI 0.32%-1.06% vs without: MD 0.16%, 95% CI 0.16%-0.48%; intersubgroup P=.03). However, having a clinical decision-making function was not associated with a larger HbA(1c) reduction (with clinical decision making: MD 0.18%, 95% CI 0.21%-0.56% vs without: MD 0.61%, 95% CI 0.27%-0.95%; intersubgroup P=.10). CONCLUSIONS: The use of mobile app-based interventions yields a clinically significant HbA(1c) reduction among adult outpatients with diabetes, especially among those with type 2 diabetes. Our study suggests that the clinical decision-making function needs further improvement and evaluation before being added to apps."
"Enhancing Internet-based psychotherapy for adults with emotional disorders using ecological momentary assessments and interventions: Study protocol of a feasibility trial with ""My EMI, Emotional Well-being"" app","Gual-Montolio P, Suso-Ribera C, García-Palacios A, Castilla D, Zaragoza I, Bretón-López J.",Internet Interv. 2023 Jan 5;31:100601. doi: 10.1016/j.invent.2023.100601. eCollection 2023 Mar.,Gual-Montolio P,Internet Interv,2023,2023/01/23,PMC9852876,,10.1016/j.invent.2023.100601,"INTRODUCTION: Emotional disorders are the most frequent mental health problems globally. To ensure the dissemination of psychological treatments for these conditions, novel forms of delivery (e.g., Internet or mobile apps) and more scalable forms of psychotherapy (e.g., transdiagnostic interventions) have become increasingly popular. Research, however, shows that a significant number of patients, around 40 % according to some studies, do not respond to the interventions as expected (i.e., not-on-track patients). Ecological momentary assessments (EMAs) and ecological momentary interventions (EMIs) could simplify tailoring treatments to the patients' progress and rapidly respond to undesired outcomes during psychotherapy. Therefore, these would facilitate measurement-based care with little therapist involvement. This study aims to explore the feasibility of an app-based system called My EMI, Emotional Well-being for people with emotional disorders. According to daily EMAs, the app will provide personalized EMIs while participants receive a self-applied online transdiagnostic treatment. The app will be used as an add-tool to the online intervention to address emotion dysregulation, foster adherence, and reinforce contents. The current study describes the study protocol for this trial. METHOD AND ANALYSIS: A single-group, open trial design will be used. Participants will be 30 adults suffering from emotional disorders. Primary outcomes will be app usability, acceptability, and response rates. Secondary outcomes will be either evaluated in Qualtrics at pre-treatment, post-treatment, and 3-month follow-up (depression and anxiety severity, and transdiagnostic dimensions of emotional disorders) or daily throughout the study with the app (EMAs of mood and five transdiagnostic mechanisms of therapeutic change). EMIs will consist of brief, evidence-based transdiagnostic CBT digital content (images, infographics, or videos) delivered just-in-time. Only if problems persist, short phone calls or episodic videocalls will be conducted. The Ethics Committee of the Jaume I University approved the study and all its procedures (CD/111/2021) in December 2021. DISCUSSION: Identifying personalized and scalable interventions is paramount to improve mental health care, especially its accessibility, and to reduce the psychological distress of people with mental health problems. Feasibility data of the app (EMA and EMI system) supported by a self-applied online transdiagnostic intervention will be important to explore whether this modern approach is a real option to move forward personalized psychological interventions for persons with emotional disorders. TRIAL REGISTRATION: ClinicalTrials.gov Identifier: NCT05109780. Registered 05 November 2021, https://clinicaltrials.gov/ct2/show/NCT05109780."
MICROS: Asthma Control App for School Adolescents in a Low Resource Setting - A Cluster Randomized Controlled Trial Protocol,"Katumba JD, Kirenga B, Muwagga Mugagga A, Kalyango JN, Nantanda R, Karamagi C.",Patient Prefer Adherence. 2023 Nov 30;17:3125-3133. doi: 10.2147/PPA.S438549. eCollection 2023.,Katumba JD,Patient Prefer Adherence,2023,2023/12/06,PMC10695141,,10.2147/PPA.S438549,"INTRODUCTION: Poor asthma control in adolescents is partly attributed to inadequate asthma education for self-management. This study is set to determine the effectiveness of the ""KmAsthma"" self-management app in improving the control of asthma among adolescents in a low-resource setting. METHODS: The two-arm 6-month cluster randomized controlled trial, will aim at enrolling 120 day scholars aged 12-19 years in secondary schools with a clinician's diagnosis and self-reported uncontrolled asthma in Kampala City Uganda. The primary endpoint of asthma control will be measured as a change in mean Asthma Control Test (ACT) scores. Asthma quality of life, adherence to medications, and self-efficacy will also be assessed. The iMprovIng the ContROl of aSthma (MICROS) study will employ the ""KmAsthma"" app for self-management education. The intervention group will receive the app on their smartphones and training on its eight sections: the profile, asthma history, goals, inspirations, reminders, connect, information about asthma, and emergency support. Participants will navigate these sections to set asthma control goals, schedule medication reminders, log daily symptoms, and receive guidance for attacks. All participants will be encouraged to seek routine care. A study nurse will follow up with each participant via the phone six weeks post-intervention. The MICROS study was approved by the Makerere University School of Medicine Research and Ethics Committee and the Uganda National Council of Science and Technology. This protocol is registered on Clinicaltrials.gov (NCT05850806). CONCLUSION: The MICROS study will provide comprehensive insights into how effective a mHealth intervention can be an aid for adolescents in a low-resource setting in managing their asthma. The findings of this study will contribute to filling the gap leading to unsatisfactory asthma control in adolescents."
Improving Medication Adherence Through Adaptive Digital Interventions (iMedA) in Patients With Hypertension: Protocol for an Interrupted Time Series Study,"Etminani K, Göransson C, Galozy A, Norell Pejner M, Nowaczyk S.",JMIR Res Protoc. 2021 May 12;10(5):e24494. doi: 10.2196/24494.,Etminani K,JMIR Res Protoc,2021,2021/05/12,PMC8156113,,10.2196/24494,"BACKGROUND: There is a strong need to improve medication adherence (MA) for individuals with hypertension in order to reduce long-term hospitalization costs. We believe this can be achieved through an artificial intelligence agent that helps the patient in understanding key individual adherence risk factors and designing an appropriate intervention plan. The incidence of hypertension in Sweden is estimated at approximately 27%. Although blood pressure control has increased in Sweden, barely half of the treated patients achieved adequate blood pressure levels. It is a major risk factor for coronary heart disease and stroke as well as heart failure. MA is a key factor for good clinical outcomes in persons with hypertension. OBJECTIVE: The overall aim of this study is to design, develop, test, and evaluate an adaptive digital intervention called iMedA, delivered via a mobile app to improve MA, self-care management, and blood pressure control for persons with hypertension. METHODS: The study design is an interrupted time series. We will collect data on a daily basis, 14 days before, during 6 months of delivering digital interventions through the mobile app, and 14 days after. The effect will be analyzed using segmented regression analysis. The participants will be recruited in Region Halland, Sweden. The design of the digital interventions follows the just-in-time adaptive intervention framework. The primary (distal) outcome is MA, and the secondary outcome is blood pressure. The design of the digital intervention is developed based on a needs assessment process including a systematic review, focus group interviews, and a pilot study, before conducting the longitudinal interrupted time series study. RESULTS: The focus groups of persons with hypertension have been conducted to perform the needs assessment in a Swedish context. The design and development of digital interventions are in progress, and the interventions are planned to be ready in November 2020. Then, the 2-week pilot study for usability evaluation will start, and the interrupted time series study, which we plan to start in February 2021, will follow it. CONCLUSIONS: We hypothesize that iMedA will improve medication adherence and self-care management. This study could illustrate how self-care management tools can be an additional (digital) treatment support to a clinical one without increasing burden on health care staff. TRIAL REGISTRATION: ClinicalTrials.gov NCT04413500; https://clinicaltrials.gov/ct2/show/NCT04413500. INTERNATIONAL REGISTERED REPORT IDENTIFIER (IRRID): DERR1-10.2196/24494."
A Digital Health Intervention (SweetGoals) for Young Adults With Type 1 Diabetes: Protocol for a Factorial Randomized Trial,"Stanger C, Kowatsch T, Xie H, Nahum-Shani I, Lim-Liberty F, Anderson M, Santhanam P, Kaden S, Rosenberg B.",JMIR Res Protoc. 2021 Feb 23;10(2):e27109. doi: 10.2196/27109.,Stanger C,JMIR Res Protoc,2021,2021/02/23,PMC7943343,,10.2196/27109,"BACKGROUND: Many young adults with type 1 diabetes (T1D) struggle with the complex daily demands of adherence to their medical regimen and fail to achieve target range glycemic control. Few interventions, however, have been developed specifically for this age group. OBJECTIVE: In this randomized trial, we will provide a mobile app (SweetGoals) to all participants as a ""core"" intervention. The app prompts participants to upload data from their diabetes devices weekly to a device-agnostic uploader (Glooko), automatically retrieves uploaded data, assesses daily and weekly self-management goals, and generates feedback messages about goal attainment. Further, the trial will test two unique intervention components: (1) incentives to promote consistent daily adherence to goals, and (2) web health coaching to teach effective problem solving focused on personalized barriers to self-management. We will use a novel digital direct-to-patient recruitment method and intervention delivery model that transcends the clinic. METHODS: A 2x2 factorial randomized trial will be conducted with 300 young adults ages 19-25 with type 1 diabetes and (Hb)A(1c) >/= 8.0%. All participants will receive the SweetGoals app that tracks and provides feedback about two adherence targets: (a) daily glucose monitoring; and (b) mealtime behaviors. Participants will be randomized to the factorial combination of incentives and health coaching. The intervention will last 6 months. The primary outcome will be reduction in A(1c). Secondary outcomes include self-regulation mechanisms in longitudinal mediation models and engagement metrics as a predictor of outcomes. Participants will complete 6- and 12-month follow-up assessments. We hypothesize greater sustained A(1c) improvements in participants who receive coaching and who receive incentives compared to those who do not receive those components. RESULTS: Data collection is expected to be complete by February 2025. Analyses of primary and secondary outcomes are expected by December 2025. CONCLUSIONS: Successful completion of these aims will support dissemination and effectiveness studies of this intervention that seeks to improve glycemic control in this high-risk and understudied population of young adults with T1D. TRIAL REGISTRATION: ClinicalTrials.gov NCT04646473; https://clinicaltrials.gov/ct2/show/NCT04646473. INTERNATIONAL REGISTERED REPORT IDENTIFIER (IRRID): PRR1-10.2196/27109."
Use of mHealth systems and tools for non-communicable diseases in low- and middle-income countries: a systematic review,"Peiris D, Praveen D, Johnson C, Mogulluru K.",J Cardiovasc Transl Res. 2014 Nov;7(8):677-91. doi: 10.1007/s12265-014-9581-5. Epub 2014 Sep 11.,Peiris D,J Cardiovasc Transl Res,2014,2014/09/12,,,10.1007/s12265-014-9581-5,"With the rapid adoption of mobile devices, mobile health (mHealth) offers the potential to transform health care delivery, especially in the world's poorest regions. We systematically reviewed the literature to determine the impact of mHealth interventions on health care quality for non-communicable diseases in low- and middle-income countries and to identify knowledge gaps in this rapidly evolving field. Overall, we found few high-quality studies. Most studies narrowly focused on text messaging systems for patient behavior change, and few studies examined the health systems strengthening aspects of mHealth. There were limited literature reporting clinical effectiveness, costs, and patient acceptability, and none reporting equity and safety issues. Despite the bold promise of mHealth to improve health care, much remains unknown about whether and how this will be fulfilled. Encouragingly, we identified some registered clinical trial protocols of large-scale, multidimensional mHealth interventions, suggesting that the current limited evidence base will expand in coming years."
The Use of Dietary Approaches to Stop Hypertension (DASH) Mobile Apps for Supporting a Healthy Diet and Controlling Hypertension in Adults: Systematic Review,"Alnooh G, Alessa T, Hawley M, de Witte L.",JMIR Cardio. 2022 Nov 2;6(2):e35876. doi: 10.2196/35876.,Alnooh G,JMIR Cardio,2022,2022/11/02,PMC9669886,,10.2196/35876,"BACKGROUND: Uncontrolled hypertension is a public health issue, with increasing prevalence worldwide. The Dietary Approaches to Stop Hypertension (DASH) diet is one of the most effective dietary approaches for lowering blood pressure (BP). Dietary mobile apps have gained popularity and are being used to support DASH diet self-management, aiming to improve DASH diet adherence and thus lower BP. OBJECTIVE: This systematic review aimed to assess the effectiveness of smartphone apps that support self-management to improve DASH diet adherence and consequently reduce BP. A secondary aim was to assess engagement, satisfaction, acceptance, and usability related to DASH mobile app use. METHODS: The Embase (OVID), Cochrane Library, CINAHL, Web of Science, Scopus, and Google Scholar electronic databases were used to conduct systematic searches for studies conducted between 2008 and 2021 that used DASH smartphone apps to support self-management. The reference lists of the included articles were also checked. Studies were eligible if they (1) were randomized controlled trials (RCTs) or pre-post studies of app-based interventions for adults (aged 18 years or above) with prehypertension or hypertension, without consideration of gender or sociodemographic characteristics; (2) used mobile phone apps alone or combined with another component, such as communication with others; (3) used or did not use any comparator; and (4) had the primary outcome measures of BP level and adherence to the DASH diet. For eligible studies, data were extracted and outcomes were organized into logical categories, including clinical outcomes (eg, systolic BP, diastolic BP, and weight loss), DASH diet adherence, app usability and acceptability, and user engagement and satisfaction. The quality of the studies was evaluated using the Cochrane Collaboration's Risk of Bias tool for RCTs, and nonrandomized quantitative studies were evaluated using a tool provided by the US National Institutes of Health. RESULTS: A total of 5 studies (3 RCTs and 2 pre-post studies) including 334 participants examined DASH mobile apps. All studies found a positive trend related to the use of DASH smartphone apps, but the 3 RCTs had a high risk of bias. One pre-post study had a high risk of bias, while the other had a low risk. As a consequence, no firm conclusions could be drawn regarding the effectiveness of DASH smartphone apps for increasing DASH diet adherence and lowering BP. All the apps appeared to be acceptable and easy to use. CONCLUSIONS: There is weak emerging evidence of a positive effect of using DASH smartphone apps for supporting self-management to improve DASH diet adherence and consequently lower BP. Further research is needed to provide high-quality evidence that can determine the effectiveness of DASH smartphone apps."
Does providing a brief internet intervention for hazardous alcohol use to people seeking online help for depression reduce both alcohol use and depression symptoms among participants with these co-occurring disorders? Study protocol for a randomised controlled trial,"Cunningham JA, Hendershot CS, Kay-Lambkin F, Neighbors C, Griffiths KM, Bennett K, Bennett A, Godinho A, Schell C.",BMJ Open. 2018 Jul 19;8(7):e022412. doi: 10.1136/bmjopen-2018-022412.,Cunningham JA,BMJ Open,2018,2018/07/22,PMC6059322,,10.1136/bmjopen-2018-022412,"INTRODUCTION: Hazardous alcohol consumption is common among people experiencing depression, often acting to exacerbate depressive symptoms. While many people with these co-occurring disorders do not seek face-to-face treatment, they do seek help online. There are effective internet interventions that target hazardous alcohol consumption or depression separately but none that combine these online interventions without the involvement of a therapist. In order to realise the potential of internet interventions, we need to develop an evidence base supporting the efficacy of internet interventions for co-occurring depression and hazardous alcohol use without any therapist involvement. This study aims to evaluate the effects on drinking, and on depressive symptoms, of combining an internet intervention targeting hazardous alcohol consumption with one for depression. METHODS AND ANALYSIS: A double blinded, parallel group randomised controlled trial will be used. Participants with current depression who also drink in a hazardous fashion (n=986) will be recruited for a study to 'help improve an online intervention for depression'. Participants will be randomised either to receive an established online intervention for depression (MoodGYM) or to receive MoodGYM plus a brief internet intervention for hazardous alcohol consumption (Check Your Drinking; CYD). Participants will be contacted 3 and 6 months after receiving the interventions to assess changes in drinking and depression symptoms. It is predicted that participants receiving the CYD intervention in addition to MoodGYM will report greater postintervention reductions in alcohol consumption and depressive symptoms compared with those who received MoodGYM only. Hypothesised mediation and moderation effects will also be investigated. Using an intention-to-treat basis for the analyses, the hypotheses will be tested using a generalised linear hypothesis framework, and longitudinal analyses will use either generalised linear mixed modelling or generalised estimating equation approach where appropriate. ETHICS AND DISSEMINATION: This research comprises the crucial first steps in developing lower-cost and efficacious internet interventions for people suffering from depression who also drink in a hazardous fashion-promoting the widespread availability of care for those in need. This study has been approved by the standing ethics review committee of the Centre for Addiction and Mental Health, and findings will be disseminated in the form of at least one peer-reviewed article and presentations at conferences. TRIAL REGISTRATION NUMBER: NCT03421080; Pre-results."
Food Allergy Symptom Self-Management With Technology (FASST) mHealth Intervention to Address Psychosocial Outcomes in Caregivers of Children With Newly Diagnosed Food Allergy: Protocol for a Pilot Randomized Controlled Trial,"Broome B, Madisetti M, Prentice M, Williams KW, Kelechi T.",JMIR Res Protoc. 2021 Mar 3;10(3):e25805. doi: 10.2196/25805.,Broome B,JMIR Res Protoc,2021,2021/03/03,PMC7970224,,10.2196/25805,"BACKGROUND: Approximately 2.4 million children in the United States suffer from food-induced anaphylaxis, a condition that is annually responsible for over 200 deaths and 200,000 emergency room visits. As a result, caregivers of children newly diagnosed with severe and life-threatening food allergic reactions experience clinically significant symptoms of psychological distress, including fatigue, anxiety, depressed mood, social isolation, and substantially reduced quality of life. Despite this recognition, there is a lack of caregiver-centered self-management interventions to address these concerns. OBJECTIVE: In this protocol, we propose to develop and conduct feasibility testing of a technology-enhanced, self-management, mobile health, smartphone app intervention called Food Allergy Symptom Self-Management with Technology for Caregivers (FASST) designed to meet the psychosocial health needs of caregivers of children with a new diagnosis of food allergy. METHODS: This pilot study uses qualitative work (Phase I) to inform a 4-week longitudinal randomized controlled trial (Phase II). In Phase I, 10 caregivers of children (</=18 years old) with established food allergy (>/=1 year from diagnosis) will participate in semistructured interviews to inform the development of the FASST app. In Phase II, 30 caregivers of children (</=18 years old) with a newly diagnosed food allergy (</=90 days from diagnosis) will be randomized 2:1 to receive the FASST intervention (n=20) or control condition (basic app with educational resources; n=10). Process measures include feasibility, caregiver acceptability, adherence, and satisfaction. Outcome measures include caregiver fatigue, anxiety, depression, sleep, self-efficacy, and quality of life measured at baseline, week 4, and 3 months post study completion. RESULTS: Phase I study activities have been completed, and Phase II participant enrollment into the randomized controlled trial is expected to commence in 2021. CONCLUSIONS: With limited readily available resources at their disposal, the results from this study have the potential to provide caregivers of children with a newly diagnosed food allergy a tool to help them self-manage and mitigate negative psychosocial factors during a critical time period in the caregiving/condition trajectory. TRIAL REGISTRATION: ClinicalTrials.gov Identifier NCT04512924: https://clinicaltrials.gov/ct2/show/NCT04512924. INTERNATIONAL REGISTERED REPORT IDENTIFIER (IRRID): DERR1-10.2196/25805."
Testing the Effects of App-Based Motivational Messages on Physical Activity and Resting Heart Rate Through Smartphone App Compliance in Patients With Vulnerable Coronary Artery Plaques: Protocol for a Microrandomized Trial,"Mitra S, Kroeger CM, Xu J, Avery L, Masedunskas A, Cassidy S, Wang T, Hunyor I, Wilcox I, Huang R, Chakraborty B, Fontana L.",JMIR Res Protoc. 2023 Oct 2;12:e46082. doi: 10.2196/46082.,Mitra S,JMIR Res Protoc,2023,2023/10/02,PMC10580140,,10.2196/46082,"BACKGROUND: Achieving the weekly physical activity recommendations of at least 150-300 minutes of moderate-intensity or 75-150 minutes of vigorous-intensity aerobic exercise is important for reducing cardiometabolic risk, but evidence shows that most people struggle to meet these goals, particularly in the mid to long term. OBJECTIVE: The Messages Improving Resting Heart Health (MIRTH) study aims to determine if (1) sending daily motivational messages through a research app is effective in improving motivation and in promoting adherence to physical activity recommendations in men and women with coronary heart disease randomized to a 12-month intensive lifestyle intervention, and (2) the time of the day when the message is delivered impacts compliance with exercise training. METHODS: We will conduct a single-center, microrandomized trial. Participants will be randomized daily to either receive or not receive motivational messages over two 90-day periods at the beginning (phase 1: months 4-6) and at the end (phase 2: months 10-12) of the Lifestyle Vulnerable Plaque Study. Wrist-worn devices (Fitbit Inspire 2) and Bluetooth pairing with smartphones will be used to passively collect data for proximal (ie, physical activity duration, steps walked, and heart rate within 180 minutes of receiving messages) and distal (ie, change values for resting heart rate and total steps walked within and across both phases 1 and 2 of the trial) outcomes. Participants will be recruited from a large academic cardiology office practice (Central Sydney Cardiology) and the Royal Prince Alfred Hospital Departments of Cardiology and Radiology. All clinical investigations will be undertaken at the Charles Perkins Centre Royal Prince Alfred clinic. Individuals aged 18-80 years (n=58) with stable coronary heart disease who have low attenuation plaques based on a coronary computed tomography angiography within the past 3 months and have been randomized to an intensive lifestyle intervention program will be included in MIRTH. RESULTS: The Lifestyle Vulnerable Plaque Study was funded in 2020 and started enrolling participants in February 2022. Recruitment for MIRTH commenced in November 2022. As of September 2023, 2 participants were enrolled in the MIRTH study and provided baseline data. CONCLUSIONS: This MIRTH microrandomized trial will represent the single most detailed and integrated analysis of the effects of a comprehensive lifestyle intervention delivered through a customized mobile health app on smart devices on time-based motivational messaging for patients with coronary heart disease. This study will also help inform future studies optimizing for just-in-time adaptive interventions. TRIAL REGISTRATION: Australian New Zealand Clinical Trials Registry ACTRN12622000731796; https://www.anzctr.org.au/Trial/Registration/TrialReview.aspx?id=382861. INTERNATIONAL REGISTERED REPORT IDENTIFIER (IRRID): DERR1-10.2196/46082."
The Impact of Digital Health Interventions for the Management of Type 2 Diabetes on Health and Social Care Utilisation and Costs: A Systematic Review,"Morris T, Aspinal F, Ledger J, Li K, Gomes M.",Pharmacoecon Open. 2023 Mar;7(2):163-173. doi: 10.1007/s41669-022-00377-9. Epub 2022 Dec 10.,Morris T,Pharmacoecon Open,2023,2022/12/10,PMC10043074,,10.1007/s41669-022-00377-9,"BACKGROUND: Digital health interventions such as smartphone applications (mHealth) or Internet resources (eHealth) are increasingly used to improve the management of chronic conditions, such as type 2 diabetes mellitus. These digital health interventions can augment or replace traditional health services and may be paid for using healthcare budgets. While the impact of digital health interventions for the management of type 2 diabetes on health outcomes has been reviewed extensively, less attention has been paid to their economic impact. OBJECTIVE: This study aims to critically review existing literature on the impact of digital health interventions for the management of type 2 diabetes on health and social care utilisation and costs. METHODS: Studies that assessed the impact on health and social care utilisation of digital health interventions for type 2 diabetes were included in the study. We restricted the digital health interventions to information provision, self-management and behaviour management. Four databases were searched (MEDLINE, EMBASE, PsycINFO and EconLit) for articles published between January 2010 and March 2021. The studies were analysed using a narrative synthesis approach. The risk of bias and reporting quality were appraised using the ROBINS-I checklist. RESULTS: The review included 22 studies. Overall, studies reported mixed evidence on the impact of digital health interventions on health and social care utilisation and costs, and suggested this impact differs according to the healthcare utilisation component. For example, digital health intervention use was associated with lower medication use and fewer outpatient appointments, whereas evidence on general practitioner visits and inpatient admissions was mixed. Most reviewed studies focus on a single component of healthcare utilisation. CONCLUSIONS: The review shows no clear evidence of an impact of digital health interventions on health and social care utilisation or costs. Further work is needed to assess the impact of digital health interventions across a broader range of care utilisation components and settings, including social and mental healthcare services. CLINICAL TRIAL REGISTRATION: The study protocol was registered on PROSPERO before searches began in April 2021 (registration number: CRD42020172621)."
A Smartphone-Based Intervention for Anxiety and Depression in Racially and Ethnically Diverse Adults (EASE): Protocol for a Randomized Controlled Trial,"Garey L, Zvolensky MJ, Gallagher MW, Vujanovic A, Kendzor DE, Stephens L, Cheney MK, Cole AB, Kezbers K, Matoska CT, Robison J, Montgomery A, Zappi CV, Businelle MS.",JMIR Res Protoc. 2022 Dec 5;11(12):e40713. doi: 10.2196/40713.,Garey L,JMIR Res Protoc,2022,2022/11/21,PMC9728024,,10.2196/40713,"BACKGROUND: Clear health disparities have emerged in the rates of COVID-19 exposure, hospitalization, and death among Black, Hispanic, and American Indian (BHAI) individuals, relative to non-Hispanic White (NHW) individuals. BHAI populations have been disproportionately affected by lower behavioral health access and heightened negative mental health outcomes during the pandemic. OBJECTIVE: This project directly addresses health disparities in access to behavioral health care during the COVID-19 pandemic among BHAI populations via an adaptation of the established, initially validated, low-cost, mobile app Easing Anxiety Sensitivity for Everyone (EASE) among individuals with symptoms of elevated anxiety or depression or both. METHODS: The EASE trial is a 2-arm, prospective, randomized, blinded-assessor study with intention-to-treat analysis. Participants (N=800; n=200, 25%, Black; n=200, 25%, Hispanic; n=200, 25%, American Indian; and n=200, 25%, NHW) are randomized to receive either EASE or an active comparison condition for anxiety and depression. Participants compete an online prescreener, an enrollment call to provide informed consent, a baseline survey, a 6-month intervention period, and 3- and 6-month postbaseline assessments. Select participants also complete a 3- and 6-month postbaseline qualitative interview via phone or an online platform (eg, Zoom). Participants complete 2 scheduled daily ecological momentary assessments (EMAs) during the 6-month study period. These twice-daily EMAs guide a just-in-time approach to immediate, personalized behavioral health care. RESULTS: Outcomes include reductions in anxiety and depressive symptoms and functional impairment at 3 and 6 months postrandomization. We also will examine putative mechanisms (eg, anxiety sensitivity [AS] and COVID-19-specific stress and fear) of the intervention effects. Further, as treatment effects may differ across sociocultural factors, perceived discrimination, social support, and socioeconomic status (SES) will be evaluated as potential moderators of treatment effects on the primary outcomes. Process evaluation using data collected during the study, as well as individual interviews with participants, will complement quantitative data. CONCLUSIONS: Data from this efficacy trial will determine whether EASE successfully improves symptoms of anxiety and depression and whether these improvements outperform an active comparison control app. If successful, findings from this study have the potential to decrease anxiety and depression symptoms among vulnerable populations determined to be most at risk of exacerbated, long-lasting negative health sequelae. Data from this study may be used to support an implementation and dissemination trial of EASE within real-world behavioral health and social service settings. TRIAL REGISTRATION: ClinicalTrials.gov NCT05074693; https://clinicaltrials.gov/ct2/show/NCT05074693. INTERNATIONAL REGISTERED REPORT IDENTIFIER (IRRID): DERR1-10.2196/40713."
