Zeitstempel,What is the app called?,What year was this paper published?,Is the software a generic tool or a domain specific app?,Which OSs does the application support?,Which devices does the application support?,Is the code available somewhere publicly?,What data collection techniques are employed in-app?,What EMA sampling strategy is being employed?,Which notifications does the software use?,What domain is the intervention being done for?,What static intervention content is being delivered to the user?,What dynamic intervention content is being delivered to the user?,What JITAI components are being used in the interventions?,Which AI technologies are being used?,What is the title of this paper?,Did the intervention according to the authors have benefits that are statistically relevant?,How does the publication explain the code or system?,Notes
15.07.2024 19:25:16,PsyMate,2024,specific app,"cross-platform, Android, iOS",Smartphone,"private, downloadable binaries",questionnaire,"event-contingent, signal-contingent",in-app notifications,"general mental health",exercises,,,,Transdiagnostic Ecological Momentary Intervention for Improving Self-Esteem in Youth Exposed to Childhood Adversity The SELFIE Randomized Clinical Trial,yes,external links or papers,"SELFIE is the name of this intervention, the interventions are tasks to bring face-to-face intervention content to real life days after the real meeting"
15.07.2024 19:30:13,mCerebrum,2022,specific app,Android,Smartphone,open-source,"questionnaire, other sensing, external hardware sensing","event-contingent, signal-contingent, continuous",in-app notifications,"stress levels, addiction cessation, smoking","educational material, exercises, exercise=tasks for mindfulness","personalized messages/feedback, context-aware prompts/notifications",triggers,"classify=mCerebrum has the cStress algorithm which detects stress based on sensor data and is trained using user data, classification of conditions",A Just-In-Time Adaptive intervention (JITAI) for smoking cessation: Feasibility and acceptability findings,,external links or papers,"uses AutoSense wearable sensors (all 4) for EMA sensing"
15.07.2024 19:37:25,"Ally+, Ally",2021,specific app,iOS,Smartphone,,"other sensing, chats, PA or accelerometer sensing, app or device usage sensing","event-contingent, signal-contingent, continuous","in-app notifications, device notifications","physical activity",,personalized messages/feedback,"triggers, adaptible intervention content","chatbot, predict potential triggers, predict=detecting receptivity (ideal moments) for JITAI delivery",Detecting Receptivity for mHealth Interventions in the Natural Environment,yes,"screenshots, diagrams, external links or papers","the JITAI app is Ally+ for iOS, Ally was cross-platform, usage data for baterly level or app usage collected in EMA sensing, domain: digital coach to increase daily step count"
15.07.2024 21:59:12,,2021,,Android,Smartphone,private,questionnaire,"event-contingent, signal-contingent","in-app notifications, device notifications","dietary habits, addiction cessation, alcohol, smoking, sexual health and urology",,personalized messages/feedback,,,"Mobile Ecological Momentary Assessment and Intervention and Health Behavior Change Among Adults in Rakai, Uganda: Pilot Randomized Controlled Trial",yes,,"feasability of EMA/I in sub-sahara for some random domains, domain is condomless sex with a non-long-term partner"
15.07.2024 22:07:37,"Limbr, Your Activities of Daily Living, Force Therapeutics, Moves",2018,specific app,"cross-platform, iOS, Android",Smartphone,private,questionnaire,"event-contingent, continuous",device notifications,"physical activity, orthopedic applications, lower back pain","educational material, watching video, exercises",,adaptible intervention content,,An mHealth App for Self-Management of Chronic Lower Back Pain (Limbr): Pilot Study,yes,screenshots,"Limbr is an app suite consisting of 3 apps plus a chat with a coach that can see everything and provide adjustments to the interventions or give more tips, Your Activities of Daily Living is the visual photo-based questionnaire app that collects EMA data, Force Therapeutics is the app to provide video exercises as intervention, Moves is the app that collects passive EMA data through sensors for PA, questionnaire has visual (photo-based) questions"
15.07.2024 22:14:39,iCAT+,2020,specific app,unknown,Smartphone,private,questionnaire,"event-contingent, signal-contingent",in-app notifications,"general mental health, Cognitive‐Affective Therapy",educational material,personalized messages/feedback,"triggers, adaptible intervention content",,Enhancing Integrative Cognitive‐Affective Therapy with ecological momentary interventions: A pilot trial,no,,clinician can see the users' EMA data and assign or change received interventions if needed
15.07.2024 22:19:35,"Motivation and Skills Support (MASS), Ethica Data",2021,specific app,Android,Smartphone,private,questionnaire,signal-contingent,in-app notifications,"general mental health, schizophrenia",motivational messages,personalized messages/feedback,,,Preliminary Outcomes of an Ecological Momentary Intervention for Social Functioning in Schizophrenia: Pre-Post Study of the Motivation and Skills Support App,yes,"screenshots, diagrams","MASS is the app that is being developed, interventions are sent using the Ethica Data platform native app"
15.07.2024 22:53:37,MyBehavior,2015,specific app,Android,Smartphone,private,"diary, camera, other sensing, locational sensing","event-contingent, continuous",,"physical activity, dietary habits",,"personalized messages/feedback, as suggestions for classified activity",adaptible intervention content,dynamic content generation in-app,Automated Personalized Feedback for Physical Activity and Dietary Behavior Change With Mobile Phones:A Randomized Controlled Trial on Adults,yes,"screenshots, external links or papers",
15.07.2024 23:03:24,mEMA,2023,specific app,"cross-platform, iOS, Android","Smartphone, Smartwatch","private, downloadable binaries","questionnaire, other sensing, smartwatch sensing","signal-contingent, continuous",device notifications,"stress levels, general mental health, opioid misuse","exercises, exercise=mindfulness training",context-aware prompts/notifications,triggers,classification of conditions,Zoom‑Based Mindfulness‑Oriented Recovery Enhancement Plus Just‑in‑Time Mindfulness Practice Triggered by Wearable Sensors for Opioid Craving and Chronic Pain,yes,external links or papers,MORE+JITAI is the intervention and it uses the mEMA app
16.07.2024 14:23:55,SAMSON,2024,,,Smartphone,,questionnaire,"event-contingent, signal-contingent",in-app notifications,cancer,"educational material, reminders","context-aware prompts/notifications, desc=app sends positive reinforcement messages based on user profile and questionnaire answers each week",,,"Co-Design, Development, and Evaluation of a Mobile Solution to Improve Medication Adherence in Cancer: Design Science Research Approach",yes,diagrams,"is in the domain: medication adherence in cancer patients"
16.07.2024 14:30:58,"VALENTINE, MyDataHelps",2022,specific app,"cross-platform, iOS, Android","Smartphone, Smartwatch",private,"diary, other sensing, smartwatch sensing",continuous,device notifications,"physical activity, cardio-vascular problems",,"personalized messages/feedback, context-aware prompts/notifications",triggers,,Vir tual AppLication-suppor ted Environment To INcrease Exercise (VALENTINE) during cardiac rehabilitation study: Rationale and design,,"screenshots, diagrams, external links or papers", EMA diary used as log for self-monitoring of goals
16.07.2024 14:38:22,StepAdd,2023,specific app,iOS,"Smartphone, External Accelerometer or Pedometer, External Specialized Sensors",private,"diary, other sensing, PA or accelerometer sensing","event-contingent, continuous",in-app notifications,"physical activity, diabetes","educational material","personalized messages/feedback, context-aware prompts/notifications, coaching",adaptible intervention content,,StepAdd: A personalized mHealth intervention based on social cognitive theory to increase physical activity among type 2 diabetes patients,yes,"screenshots, diagrams","monthly talks with pharmacist that gives lifestyle changes as intervention depending on results so far, also the recommendations for next daily goal is based on previous data, sensing via pedometer for step count and rest is manually inputted as a daily log"
16.07.2024 14:42:29,mEMA,2018,generic tool/framework,,,,questionnaire,"event-contingent, signal-contingent",in-app notifications,"no specific domain, addiction cessation, marijuana, app however is a framework so to say",motivational messages,"personalized messages/feedback",,,"Pilot randomized trial of MOMENT, a motivational counseling-plus-ecological momentary intervention to reduce marijuana use in youth",yes,,
16.07.2024 14:46:13,not named,2022,,unknown,Smartphone,private,questionnaire,event-contingent,,"mood tracking, dietary habits, cancer",,personalized messages/feedback,triggers,,Self-regulation deficits moderate treatment outcomes in a clinical trial evaluating just-in-time adaptive interventions as an augmentation to cognitive-behavioral therapy for bulimia-spectrum eating disorders,yes,,"no information on technology whatsoever, JITAI may be a stretch as the intervention consists of CBT after giving answers to a questionnaire, domain is: bulimia-spectrum eating disorders"
16.07.2024 15:56:45,CBT+,2021,specific app,iOS,Smartphone,private,questionnaire,event-contingent,in-app notifications,"mood tracking, cancer",educational material,context-aware prompts/notifications,"triggers, adaptible intervention content",,A Clinician-Controlled Just-in-time Adaptive Intervention System (CBT+) Designed to Promote Acquisition and Utilization of Cognitive Behavioral Therapy Skills in Bulimia Nervosa: Development and Preliminary Evaluation Study,,screenshots,"clinician can see data from user and can adjust the JITAI algorithm to allow more frequently delivered EMIs or different tasks, domain is: bulimia nervosa"
16.07.2024 16:01:35,"SkillJoy, PACO",2023,generic tool/framework,,Smartphone,private,"diary, questionnaire","event-contingent, signal-contingent",in-app notifications,"no specific domain, mood tracking, general mental health, anxiety, PACO is general app","motivational messages, exercises",,,,Upregulating Positive Emotion in Generalized Anxiety Disorder: A Randomized Controlled Trial of the SkillJoy Ecological Momentary Intervention,yes,,SkillJoy is the intervention and PACO the app
16.07.2024 16:05:33,not named,2015,specific app,Android,Smartphone,private,"other sensing, PA or accelerometer sensing",continuous,in-app notifications,physical activity,reminders,context-aware prompts/notifications,triggers,"classification of conditions, classifying=behaviour via sensor data",Behavioral Response to a Just-in-Time Adaptive Intervention (JITAI) to Reduce Sedentary Behavior in Obese Adults: Implications for JITAI Optimization,yes,external links or papers,B-MOBILE JITAI is the intervention
16.07.2024 16:10:37,marssi,2020,specific app,,Smartphone,private,questionnaire,signal-contingent,in-app notifications,"general mental health, depression or suicide, sexual health and urology",,personalized messages/feedback,,,Development and pilot testing of a counseling-plus-mHealth intervention to reduce risk for pregnancy and sexually transmitted infection in young women with depression,yes,,
16.07.2024 16:15:32,URApp,2021,specific app,"cross-platform, iOS, Android",Smartphone,"private, downloadable binaries",questionnaire,event-contingent,in-app notifications,sexual health and urology,educational material,personalized messages/feedback,,,A Smartphone App for Supporting the Self-management of Daytime Urinary Incontinence in Adolescents: Development and Formative Evaluation Study of URApp,yes,"screenshots, diagrams, external links or papers","details full development process, domain is: urinary incontinence amongs adolescents"
16.07.2024 16:58:06,not named,2021,specific app,unknown,Smartphone,private,questionnaire,signal-contingent,in-app notifications,"mood tracking, stress levels, general mental health",exercises,context-aware prompts/notifications,,,A Compassion-Focused Ecological Momentary Intervention for Enhancing Resilience in Help-Seeking Youth: Uncontrolled Pilot Study,yes,,EMIcompass is the intervention and it uses an mHealth app but no details about it in the paper
16.07.2024 17:05:43,movisensXS,2022,generic tool/framework,"cross-platform, Android, iOS",Smartphone,private,questionnaire,"event-contingent, signal-contingent",in-app notifications,"no specific domain, stress levels",listening to audio,context-aware prompts/notifications,triggers,,An ecological momentary music intervention for the reduction of acute stress in daily life: A mixed methods feasibility study,yes,diagrams,
16.07.2024 17:12:37,movisensXS,2019,generic tool/framework,Android,Smartphone,"private, downloadable binaries","questionnaire, camera",event-contingent,,dietary habits,"exercises, exercise=prompt to eat colourful food",,,,Boosting healthy food choices by meal colour variety: results from two experiments and a just-in-time Ecological Momentary Intervention,yes,external links or papers,"sends ""Eat a colourful lunch meal today."" as message every day and that's it, EMA allows picture as input for what was eaten that day"
16.07.2024 17:23:57,InsightApp,2023,specific app,iOS,Smartphone,private,questionnaire,"event-contingent, signal-contingent",in-app notifications,"mood tracking, stress levels","educational material, exercises",,,,A Gamified Mobile App That Helps People Develop the Metacognitive Skills to Cope With Stressful Situations and Difficult Emotions: Formative Assessment of the InsightApp,,screenshots,
16.07.2024 17:30:05,"MetricWire, Mi Fit",2022,generic tool/framework,Android,"Smartphone, External Accelerometer or Pedometer",private,"questionnaire, other sensing, PA or accelerometer sensing","event-contingent, signal-contingent",in-app notifications,"no specific domain, general mental health, motivational deficit",listening to audio,"personalized messages/feedback, context-aware prompts/notifications, desc=at specific times were prompts sent to incourage looking forward to the day or looking back to it",,,A Group Intervention for Motivational Deficits: Preliminary Investigation of a Blended Care Approach Using Ambulatory Assessment,,"screenshots, external links or papers","MetricWire app was used for questionnaires, which is general, Mi Fit app was used to gather sensor data, step count sensed via miband"
16.07.2024 17:38:26,PAUL,2022,specific app,,,private,"questionnaire, other sensing, external hardware sensing","event-contingent, continuous",in-app notifications,"mood tracking, physical activity","reminders, exercise instructions","personalized messages/feedback, context-aware prompts/notifications, desc=user gets audio messages as feedback every 5 minutes of PA describing their metrics if PA is still being detected",triggers,"predict potential triggers, predict=timing of content is learned by user data for next JITAI deliveries","Just-in-Time Prompts for Running, Walking, and Performing Strength Exercises in the Built Environment: 4-Week Randomized Feasibility Study",yes,"screenshots, external links or papers","partial benefit (motivation increased but not activity), questionnaire for mood tracking before and after exercise sessions, data collected via wireless pocket sensor connected to the app"
16.07.2024 17:50:01,REMIT,2018,specific app,unknown,Smartphone,private,"diary, questionnaire","event-contingent, signal-contingent",in-app notifications,"addiction cessation, alcohol","educational material, motivational messages, message=motivational quotes delivered via a scripted virtual coach that sends text messages","personalized messages/feedback, context-aware prompts/notifications",adaptible intervention content,"chatbot, not AI=virtual coach is script based so not AI but it still is a chatbot",REMIT: Development of a mHealth theory-based intervention to decrease heavy episodic drinking among college students,,,"virtual coach that takes provided data to adjust text messages to guide user to some intervention depending on their data, this is just a prototype app as if the writing of this paper, EMA diary as in drinking logs outside of chats with the virtual coach"
16.07.2024 20:09:32,MyHeart Counts,2023,specific app,iOS,"Smartphone, Smartwatch","private, downloadable binaries","other sensing, PA & accelerometer sensing, smartwatch sensing",continuous,in-app notifications,"physical activity, cardio-vascular problems",exercises,context-aware prompts/notifications,triggers,,Personalized digital behaviour interventions increase short-term physical activity: a randomized control crossover trial substudy of the MyHeart Counts Cardiovascular Health Study,yes,external links or papers,mobile phone or smartwatch sensing of step count and time spent per pa activity in EMA part
16.07.2024 20:15:31,RAE app,2023,specific app,unknown,"Smartphone, Smartwatch",private,"questionnaire, other sensing, smartwatch sensing","event-contingent, signal-contingent, continuous",in-app notifications,"stress levels, addiction cessation, substance use cravings","educational material, exercises, support calls",context-aware prompts/notifications,triggers,"classification of conditions",Towards Device Agnostic Detection of Stress and Craving in Patients with Substance Use Disorder,,external links or papers,more of an AI paper to detect stress and carvings from sensor data than an EMI focused paper
16.07.2024 20:46:20,,2014,specific app,,,,,,,,,,,,Assessing the Availability of Users to Engage in Just-in-Time Intervention in the Natural Environment,,,Exclude => not an EMI app but the analysis of sensor data from an EMA study to inform future JITAI triggers using AI techniques
16.07.2024 20:52:58,iHabit,,specific app,iOS,Smartphone,"private, downloadable binaries",questionnaire,"event-contingent, signal-contingent",in-app notifications,general self-awareness,,,,,A Smartphone Ecological Momentary Assessment/ Intervention ‘‘App’’ for Collecting Real-Time Data and Promoting Self-Awareness,yes,"screenshots, external links or papers","Exclude => no intervention content apart from ""complete the survey and think about wasted time"""
16.07.2024 20:57:57,not named,2015,specific app,"cross-platform, web-app","Smartphone, Browser/PWA, mobile-enabled web app",private,questionnaire,event-contingent,device notifications,"mood tracking, Bipolar Disorder",exercises,personalized messages/feedback,triggers,,Augmenting Psychoeducation with a Mobile Intervention for Bipolar Disorder: A Randomized Controlled Trial,no,,"Exclude => SMS as notification tool to use the web app, could be excluded as this is a web tool"
16.07.2024 21:07:40,not named,2021,specific app,unknown,Smartphone,private,questionnaire,signal-contingent,in-app notifications,"mood tracking, general mental health, depression or suicide",graphs about own data and its trends,,,,Patients' experience of an ecological momentary intervention involving self-monitoring and personalized feedback for depression,,diagrams,really stretches the definition of EMI as the only intervention content is a face-to-face meeting
16.07.2024 21:49:18,not named,2016,specific app,unknown,Smartphone,private,questionnaire,"event-contingent, signal-contingent",in-app notifications,"mood tracking, social interactions, sexual health and urology",exercises,personalized messages/feedback,,,“Just Take a Moment and Breathe and Think”: Young Women with Depression Talk about the Development of an Ecological Momentary Intervention to Reduce Their Sexual Risk,yes,,
16.07.2024 21:52:54,RoQua,2021,,,"Browser/PWA, website used to collect data and links to that website were sent via SMS",private,questionnaire,signal-contingent,device notifications,"general mental health, depression or suicide",,personalized messages/feedback,,,Comparison of Two Ecological Momentary Intervention Modules for Treatment of Depression on Momentary Positive and Negative Affect,no,external links or papers,Exclude => Another ZELF-i publication that uses web apps
16.07.2024 23:01:17,,2015,specific app,Android,Smartphone,open-source,"diary, other sensing, app or device usage sensing",event-contingent,in-app notifications,"general mental health, empowering",,context-aware prompts/notifications,triggers,,A platform for user empowerment through Self Ecological Momentary Assessment / Intervention,,"diagrams, external links or papers","platform for self intervention in which the user creates their own interventions (alert based) by setting parameters with in-app logic, collected phone usage data & app usage data in EMA"
16.07.2024 23:06:44,ReApp,2023,specific app,unknown,Smartphone,,questionnaire,signal-contingent,,"mood tracking, general mental health, social interactions, anxiety","exercises, exercise=mental exercises to think about past (or future) stressful events and change own perspective on it",,,,ReApp – an mHealth app increasing positive cognitive reappraisal: results from two randomized controlled trials,no,screenshots,only partial benefits (only subjects with low tendency to use positive cognitive reappraisal displayed benefits)
16.07.2024 23:12:49,not named,2022,specific app,Android,Smartphone,private,"questionnaire, other sensing, locational sensing","event-contingent, signal-contingent",in-app notifications,"dietary habits, health risk behaviours",,personalized messages/feedback,,,Acceptability and feasibility of mobile phonebased ecological momentary assessment and intervention in Uganda: A pilot randomized controlled trial,,,
16.07.2024 23:32:18,PerPAIN,2023,specific app,unknown,Smartphone,private,questionnaire,"event-contingent, signal-contingent",in-app notifications,"mood tracking, orthopedic applications, chronic musculoskeletal pain","exercises, exercise=tasks to report or plan joyful moments/activities","personalized messages/feedback, context-aware prompts/notifications, desc=texts or graphs as feedback if a predefined threshold is reached after a questionnaire is filled",,,Refocusing of Attention on Positive Events Using Monitoring-Based Feedback and Microinterventions for Patients With Chronic Musculoskeletal Pain in the PerPAIN Randomized Controlled Trial: Protocol for a Microrandomized Trial,,,
17.07.2024 14:51:30,emma,2020,specific app,"cross-platform, iOS, Android",Smartphone,private,questionnaire,"event-contingent, signal-contingent",in-app notifications,"mood tracking, general mental health, depression or suicide","support calls, support=call module to call people depending on severity",personalized messages/feedback,adaptible intervention content,,"A Digital Companion, the Emma App, for Ecological Momentary Assessment and Prevention of Suicide: Quantitative Case Series Study",,"diagrams, external links or papers",
17.07.2024 14:58:34,not named,2023,specific app,"cross-platform, iOS, Android",Smartphone,,questionnaire,,in-app notifications,"mood tracking, goal setting and motivation","educational material, material=strategies to help with goal pursuit","context-aware prompts/notifications, desc=every morning a prompt is displayed if the user is below 1 SD of their rolling goal persuit levels",,,An ecological momentary intervention to support dynamic goal pursuit: pilot study,,,calls itself JITAI
17.07.2024 15:06:38,Mon Sherpa,2023,,"iOS, Android, cross-platform",Smartphone,"private, downloadable binaries","questionnaire, chatting with the bot","event-contingent, signal-contingent",in-app notifications,"mood tracking, stress levels, general mental health, depression or suicide","educational material, listening to audio",context-aware prompts/notifications,adaptible intervention content,chatbot,Impact of Ecological Momentary Interventions on Regulatory Strategies of Perceived Stress at Work: An Exploratory Study Based on the Application ”MON SHERPA” Used in an Ecological Context,yes,"screenshots, diagrams, external links or papers","only data collection in-app is mood tracking and text messages to the bot, the questionnaires are only done in the intervention => EMI without EMA data context"
17.07.2024 15:13:11,Family Connections,2022,specific app,Android,Smartphone,private,questionnaire,"event-contingent, signal-contingent",in-app notifications,"general mental health, social interactions, borderline personality disorder and interactions with family members","educational material, exercises, watching video",context-aware prompts/notifications,,,A smartphone application of “Family Connections” to increase the use of skills and improve psychological symptoms in relatives of people with borderline personality disorder: A study protocol for a randomized controlled trial,,,
17.07.2024 15:20:57,,2023,generic tool/framework,"iOS, Android, cross-platform",Smartphone,private,questionnaire,"event-contingent, signal-contingent",in-app notifications,"no specific domain, cancer","educational material, exercises","personalized messages/feedback, context-aware prompts/notifications","triggers, adaptible intervention content",,A Highly Configurable EMA and JITAI Mobile App Framework Utilized in a Large-Scale German Study on Breast Cancer Aftercare,,"screenshots, diagrams",this paper is about an example concerning breast cancer
17.07.2024 15:27:07,UNITI Mobile,2021,specific app,"cross-platform, iOS, Android",Smartphone,private,questionnaire,"event-contingent, signal-contingent",in-app notifications,tinnitus or hearing loss,"educational material, listening to audio",personalized messages/feedback,,,UNITI Mobile—EMI-Apps for a Large-Scale European Study on Tinnitus,,"screenshots, diagrams, external links or papers",
17.07.2024 17:20:54,"Diameter, MiGuide",2023,specific app,Android,"Smartphone, Smartwatch",private,"questionnaire, external hardware sensing, smartwatch sensing","event-contingent, continuous",in-app notifications,"physical activity, diabetes","exercises, motivational messages",personalized messages/feedback,triggers,,A Digital Lifestyle Coach (E-Supporter 1.0) to Support People With Type 2 Diabetes: Participatory Development Study,,"screenshots, diagrams","E -Supporter is integrated into the Diameter or MiGuide app, if barriers are identified from collected data specific exercises are delivered as intervention to help, in EMA fitbit sensors for pa and glucose monitor"
17.07.2024 17:25:18,not named,2017,specific app,"iOS, Android, cross-platform","Smartphone, External Accelerometer or Pedometer",private,"questionnaire, other sensing, PA or accelerometer sensing","event-contingent, continuous",in-app notifications,physical activity,educational material,personalized messages/feedback,,,A smartphone ‘‘app’’-delivered randomized factorial trial targeting physical activity in adults,yes,,
17.07.2024 17:34:59,Emu,2017,generic tool/framework,Android,Smartphone,private,"other sensing, sensors, app or device usage sensing",continuous,in-app notifications,,,"personalized messages/feedback, context-aware prompts/notifications, feedback must be provided by the intervention designer alongside the trigger","triggers, adaptible intervention content",,Emu: Engagement Modeling for User Studies,,"diagrams, external links or papers","Emu is an API that allows to trigger notifications by providing intervention content and a condition on when to deliver, A-CHESS and MH2 and SitCoach apps (all EMI) can easily be replicated using the Emu API according to the authors => effectively a JITAI framework using sensing, in EMA usage data of apps and phone is collected"
17.07.2024 17:51:06,BeActive,2019,specific app,Android,Smartphone,private,"questionnaire, other sensing, PA or accelerometer sensing","signal-contingent, continuous",in-app notifications,physical activity,,context-aware prompts/notifications,triggers,,Multi-Stage Receptivity Model for Mobile Just-In-Time Health Intervention,,"screenshots, diagrams","when phone senses prolonged stationary state of a user it sends 1 JIT prompt to be more active to the user after 60 minutes of detection and asks them some questions after the intervention => JIT but not adaptible, google activity recognition in EMA"
17.07.2024 17:55:31,SyMptOMS,2019,generic tool/framework,Android,"Smartphone, Smartwatch",private,"questionnaire, other sensing, locational sensing, app or device usage sensing, smartwatch sensing","event-contingent, continuous",in-app notifications,no specific domain,,personalized messages/feedback,triggers,,Technical Challenges to Deliver Sensor-based Psychological Interventions Using Smartphones,,diagrams,
17.07.2024 18:01:57,HeartSteps,2020,specific app,unknown,"Smartphone, Smartwatch","private, public non-code data","other sensing, locational sensing, app or device usage sensing, smartwatch sensing",continuous,in-app notifications,cardio-vascular problems,exercises,context-aware prompts/notifications,triggers,"predict potential triggers, predict=reinforcement-learning model to optimize triggers",Personalized HeartSteps: A Reinforcement Learning Algorithm for Optimizing Physical Activity,yes,"diagrams, external links or papers","Uses Fitbit for sensors, data of the study is public on GitHub, in EMA fitbit sensors used for step count"
18.07.2024 17:28:39,BeActive,2020,specific app,Android,"Smartphone, Smartwatch",private,"other sensing, PA or accelerometer sensing",continuous,in-app notifications,"physical activity, cardio-vascular problems",,"personalized messages/feedback, context-aware prompts/notifications",triggers,,BeActive: Encouraging Physical Activities with Just-in-time Health Intervention and Micro Financial Incentives,,"screenshots, diagrams",Google activity recognition used in EMA sensing
18.07.2024 17:34:36,Foodbot,2020,specific app,cross-platform,"Smartphone, Browser/PWA",open-source,"diary, microphone, other sensing, chats, app or device usage sensing",event-contingent,device notifications,dietary habits,food recommendations,personalized messages/feedback,"triggers, adaptible intervention content","chatbot, partly AI=AI used for chatbot (NLP) but the responses are tailored and pre-made",Foodbot: A Goal-Oriented Just-in-Time Healthy Eating Interventions Chatbot,,"screenshots, diagrams, external links or papers","food logging via text messages to the bot as EMA, voice commands can be interpreted as well in EMA"
18.07.2024 17:43:52,"TypeOut, AWARE",2022,specific app,Android,Smartphone,private,"other sensing, app or device usage sensing",continuous,,"addiction cessation, smartphone usage","exercises, exercise=task to write out a sentence before accessing the app",,triggers,,TypeOut: Leveraging Just-in-Time Self-Afirmation for Smartphone Overuse Reduction,yes,"screenshots, diagrams","uses AWARE for data collection, blocks users from accessing apps they declare themselves in the TypeOut app"
18.07.2024 17:52:38,WhoIsZuki,2023,specific app,Android,Smartphone,"private, public non-code data","diary, other sensing","event-contingent, continuous",in-app notifications,physical activity,texts to read (a story with 13 chapters) that are unlocked as the user goes on with goal tracking,personalized messages/feedback,,,Narrative-Based Visual Feedback to Encourage Sustained Physical Activity: A Field Trial of the WhoIsZuki Mobile Health Platform,,"screenshots, diagrams, external links or papers","uses Google Fit app for sensing and diaries for activity assessment that did not get recognized, material and instructions on how to use the app are public"
18.07.2024 19:16:15,,2023,specific app,Android,Smartphone,private,"other sensing, PA or accelerometer sensing",continuous,in-app notifications,physical activity,"exercises, exercise=task to have a short active break","personalized messages/feedback, context-aware prompts/notifications",,,Understanding Disengagement in Just-in-Time Mobile Health Interventions,no,"screenshots, diagrams","in EMA uses step count and Google Activity Recognition to detect prolonged sedentary states"
18.07.2024 19:22:02,AWARE,2023,specific app,Android,"Smartphone, Smartwatch",private,"questionnaire, other sensing, smartwatch and phone sensors used for sensing","signal-contingent, continuous",,stress levels,exercises,"personalized messages/feedback, context-aware prompts/notifications","triggers, adaptible intervention content",stress detection via EMA data,Designing an Intervention against Occupational Stress Based on Ubiquitous Stress and Context Detection,,diagrams,Exclude => JITAI app but not yet done: this is just the AI trained on sensor data and how that can be used in JITAIs but the app is not yet there
